Date,Ticker,Open,High,Low,Close,Volume
10/17/2016,VOO,195.64,195.93,194.81,195.05,"1,323,208"
10/14/2016,VOO,196.65,197.12,195.61,195.63,"1,218,830"
10/13/2016,VOO,194.83,196.11,193.92,195.58,"2,407,142"
10/12/2016,VOO,196.12,196.74,195.59,196.21,"1,458,682"
10/11/2016,VOO,198,198.07,195.19,195.96,"2,643,454"
10/10/2016,VOO,198.44,198.95,198.31,198.37,"1,297,401"
10/07/2016,VOO,198.42,198.6,196.65,197.46,"1,795,140"
10/06/2016,VOO,197.74,198.34,197.16,198.19,"1,117,392"
10/05/2016,VOO,197.77,198.44,197.72,197.96,"1,126,748"
10/04/2016,VOO,198.25,198.47,196.48,197.14,"2,846,581"
10/03/2016,VOO,198.18,198.35,197.45,198.06,"2,136,031"
09/30/2016,VOO,198.01,199.34,197.75,198.69,"3,147,403"
09/29/2016,VOO,198.71,199.11,196.54,197.11,"2,074,617"
09/28/2016,VOO,198.18,199.07,197.13,198.98,"1,420,106"
09/27/2016,VOO,196.53,198.01,196.16,197.91,"1,468,355"
09/26/2016,VOO,197.47,197.6,196.5,196.71,"2,451,583"
09/23/2016,VOO,198.98,199.11,198.22,198.29,"1,413,561"
09/22/2016,VOO,199.26,199.71,198.98,199.36,"2,215,243"
09/21/2016,VOO,196.69,198.34,195.98,198.17,"2,238,757"
09/20/2016,VOO,196.86,197.03,195.93,195.97,"1,294,085"
09/19/2016,VOO,196.63,197.28,195.64,195.95,"2,061,350"
09/16/2016,VOO,196.02,196.19,195.17,195.89,"1,774,206"
09/15/2016,VOO,194.51,197.07,194.37,196.66,"1,874,617"
09/14/2016,VOO,194.83,196.12,194.12,194.66,"2,967,147"
09/13/2016,VOO,196.25,196.51,194.12,194.78,"3,365,268"
09/12/2016,VOO,194.88,198.95,194.8,198.48,"2,800,162"
09/09/2016,VOO,199.08,199.18,195.67,195.68,"3,435,593"
09/08/2016,VOO,200.62,200.92,200.19,200.52,"2,180,474"
09/07/2016,VOO,200.82,201.15,200.32,200.99,"1,455,442"
09/06/2016,VOO,200.69,201.04,199.92,201,"1,589,601"
09/02/2016,VOO,200.41,200.83,199.78,200.37,"1,555,772"
09/01/2016,VOO,199.5,199.79,198.24,199.48,"2,196,085"
08/31/2016,VOO,199.7,199.82,198.65,199.52,"2,343,858"
08/30/2016,VOO,200.28,200.57,199.45,200.01,"1,407,367"
08/29/2016,VOO,199.53,200.65,199.49,200.39,"1,140,677"
08/26/2016,VOO,199.96,201.05,198.44,199.38,"2,890,614"
08/25/2016,VOO,199.48,200.21,199.33,199.76,"1,262,644"
08/24/2016,VOO,200.78,200.87,199.46,199.92,"1,161,308"
08/23/2016,VOO,201.18,201.51,200.86,200.89,"1,214,468"
08/22/2016,VOO,200.3,200.75,199.88,200.52,"880,393"
08/19/2016,VOO,200.34,200.72,199.81,200.54,"1,190,807"
08/18/2016,VOO,200.37,200.86,200.25,200.82,"5,211,151"
08/17/2016,VOO,200.05,200.53,199.14,200.34,"3,157,676"
08/16/2016,VOO,200.61,200.66,200,200.01,"1,731,162"
08/15/2016,VOO,200.89,201.41,200.85,201.05,"1,051,549"
08/12/2016,VOO,200.32,200.7,200.04,200.47,"1,718,942"
08/11/2016,VOO,200.31,200.89,200,200.67,"1,645,128"
08/10/2016,VOO,200.34,200.4,199.33,199.69,"1,222,339"
08/09/2016,VOO,200.19,200.73,199.86,200.2,"1,821,115"
08/08/2016,VOO,200.41,200.51,199.79,200.07,"1,441,879"
08/05/2016,VOO,199.34,200.22,199.19,200.17,"1,818,582"
08/04/2016,VOO,198.5,198.9,198.05,198.57,"1,384,742"
08/03/2016,VOO,197.74,198.42,197.4,198.38,"2,057,535"
08/02/2016,VOO,198.79,198.94,196.88,197.81,"4,085,790"
08/01/2016,VOO,199.33,199.71,198.58,199.05,"2,111,491"
07/29/2016,VOO,198.63,199.6,198.32,199.28,"1,758,641"
07/28/2016,VOO,198.49,199.21,197.98,198.93,"937,223"
07/27/2016,VOO,199.29,199.34,197.85,198.71,"2,120,164"
07/26/2016,VOO,198.7,199.25,197.97,198.84,"1,405,546"
07/25/2016,VOO,199.1,199.17,198.17,198.85,"1,172,616"
07/22/2016,VOO,198.62,199.38,198.3,199.33,"1,678,993"
07/21/2016,VOO,199.07,199.32,197.97,198.41,"4,509,817"
07/20/2016,VOO,198.92,199.44,198.41,199.16,"1,096,892"
07/19/2016,VOO,198.13,198.39,197.88,198.36,"1,003,296"
07/18/2016,VOO,198.15,198.74,197.9,198.58,"1,155,726"
07/15/2016,VOO,198.93,198.93,197.56,198.01,"2,346,463"
07/14/2016,VOO,198.58,198.8,197.89,198.31,"3,691,107"
07/13/2016,VOO,197.69,197.69,196.69,197.16,"2,767,524"
07/12/2016,VOO,196.84,197.54,196.59,197.23,"2,356,688"
07/11/2016,VOO,195.62,196.41,195.41,195.85,"3,590,725"
07/08/2016,VOO,193.63,195.36,193.41,195.17,"2,048,546"
07/07/2016,VOO,192.56,193.26,191.44,192.25,"1,704,943"
07/06/2016,VOO,190.71,192.49,189.97,192.38,"2,197,888"
07/05/2016,VOO,191.73,191.82,190.57,191.25,"2,233,027"
07/01/2016,VOO,192.09,193.12,192.07,192.6,"2,170,965"
06/30/2016,VOO,190.13,192.24,189.53,192.2,"3,822,157"
06/29/2016,VOO,187.95,189.86,187.86,189.64,"4,147,798"
06/28/2016,VOO,184.87,186.44,184.53,186.43,"4,475,851"
06/27/2016,VOO,185.06,185.06,182.27,183.05,"7,720,460"
06/24/2016,VOO,187,189.82,186,186.56,"10,310,480"
06/23/2016,VOO,192.52,193.44,192,193.39,"2,582,160"
06/22/2016,VOO,191.45,192.21,190.78,190.92,"2,245,874"
06/21/2016,VOO,191.15,191.65,190.65,191.24,"1,826,453"
06/20/2016,VOO,192.56,193.26,191.56,191.65,"1,192,781"
06/17/2016,VOO,191.1,191.1,189.73,190.43,"1,700,955"
06/16/2016,VOO,189.6,191.33,188.57,191.14,"2,744,398"
06/15/2016,VOO,191.26,191.96,190.36,190.52,"1,590,761"
06/14/2016,VOO,190.83,191.45,189.8,190.8,"2,051,157"
06/13/2016,VOO,192.03,192.97,191.12,191.22,"2,318,169"
06/10/2016,VOO,193.07,193.43,192.12,192.67,"1,932,902"
06/09/2016,VOO,194.02,194.69,193.75,194.54,"1,521,582"
06/08/2016,VOO,194.34,194.95,194.21,194.84,"1,041,126"
